BAB 1,,
KANA,KANJI,ARTI
KATA KERJA GOL. 1 (GODAN),,
ちがいます,違います,Salah / berbeda
すんでいます,住んでいます,Tinggal / bermukim
KATA KERJA GOL. 3 (FUKISOKU),,
きました,来ました,Datang
KATA GANTI ORANG & SUBJEK,,
おまえ,お前,Kamu (kasar)
わたし,私,Saya
あのかた,あの方,Orang itu (lebih sopan)
あなた,貴方,Kamu
わたしたち,私たち,Kami
ちち,父,Ayah (saya)
おとうと,弟,Adik laki-laki (saya)
いもうと,妹,Adik perempuan (saya)
あのひと,あの人,Orang itu
あに,兄,Kakak laki-laki (saya)
あね,姉,Kakak perempuan (saya)
はは,母,Ibu (saya)
きみ,君,Kamu
こども,子供,Anak (saya)
かのじょ,彼女,Dia (perempuan)
かれら,彼ら,Mereka
おれ,俺,Saya (kasar)
かれ,彼,Dia (laki-laki)
〜さん,,Mr. / Mrs.~ (orang)
おかあさん,お母さん,Ibu (orang)
おばあさん,お祖母さん,Nenek (orang)
おじいさん,お祖父さん,Kakek (orang)
おとうさん,お父さん,Ayah (orang)
おくさん,奥さん,Istri (orang)
おこさん,お子さん,Anak (orang)
みなさん,皆さん,Kalian semua
りょうしん,両親,Orang tua
ごしゅじん,ご主人,Suami (orang)
KELUARGA & HUBUNGAN SOSIAL,,
おい,甥,Keponakan laki-laki
きょうだい,兄弟,Saudara
しまい,姉妹,Saudara perempuan
めい,姪,Keponakan perempuan
かぞく,家族,Keluarga
いとこ,従兄弟 / 従姉妹,Sepupu
まご,孫,Cucu
かれし,彼氏,Pacar laki-laki
ともだち,友達,Teman
ままちち,継父,Ayah tiri
おっと,夫,Suami
こいびと,恋人,Pacar
ままはは,継母,Ibu tiri
そふ,祖父,Kakek
しゅふ,主婦,Ibu rumah tangga
そぼ,祖母,Nenek
つま,妻,Istri
おじさん,叔父さん / 伯父さん,Paman
おばさん,叔母さん / 伯母さん,Bibi
〜ちゃん,,(untuk anak kecil)
KATEGORI ORANG & GENDER,,
〜くん,〜君,(untuk laki-laki)
PROFESI & PEKERJAAN,,
がくせい,学生,Siswa
せんせい,先生,Guru / dosen
のうか,農家,Petani
かんごし,看護師,Perawat
けいさつ,警察,Polisi
せいと,生徒,Murid
いしゃ,医者,Dokter
ぎんこういん,銀行員,Pegawai bank
えきいん,駅員,Pegawai stasiun
こうむいん,公務員,Pegawai negeri
じむいん,事務員,Staff
しゃいん,社員,Karyawan
かいしゃいん,会社員,Pegawai perusahaan
しょうにん,商人,Pedagang
BAHASA & LINGUISTIK,,
インドネシア,,Indonesia
イギリス,,Inggris
INFRASTRUKTUR & TATA KOTA,,
しゅふ,主夫,Bapak rumah tangga
ANGKA DASAR (1 - 10),,
いっさい,一歳,1 tahun
にさい,二歳,2 tahun
さんさい,三歳,3 tahun
よんさい,四歳,4 tahun
ごさい,五歳,5 tahun
ろくさい,六歳,6 tahun
ななさい,七歳,7 tahun
はっさい,八歳,8 tahun
きゅうさい,九歳,9 tahun
じゅっさい,十歳,10 tahun
ANGKA BELASAN & PULUHAN,,
はたち,二十歳,20 tahun
KATA TANYA (GIMONSHI),,
なんさい,何歳,Berapa tahun?
どこ,何処,Dimana
どなた,何方,Siapa (lebih sopan)
おいくつ,お幾つ,Berapa usianya?
だれ,誰,Siapa
KATA TUNJUK (KOSOADO),,
から,,Dari
KATA KETERANGAN (FUKUSHI) & SAMBUNG,,
ひとりで,一人で,Sendirian
PARTIKEL & UNGKAPAN SALAM,,
はい,,Iya
あのう,,Hm…
いいえ,,Tidak
そう です,,(membenarkan)
KOSAKATA SERAPAN (KATAKANA),,
ロシア,,Rusia
マレーシア,,Malaysia
アジア,,Asia
ケニア,,Kenya
サウジアラビア,,Saudi Arabia
イタリア,,Italia
オーストラリア,,Australia
タイ,,Thailand
アフリカ,,Afrika
アメリカ,,Amerika
メキシコ,,Meksiko
トルコ,,Turki
スイス,,Swiss
フランス,,Prancis
カナダ,,Kanada
ドイツ,,Jerman
エジプト,,Mesir
インド,,India
ニュージーランド,,New Zealand
ヨーロッパ,,Eropa
ベトナム,,Vietnam
ブラジル,,Brazil
ネパール,,Nepal
シンガポール,,Singapura
スペイン,,Spanyol
フィリピン,,Filipina
タイワン,台湾,Taiwan
ミャンマー,,Myanmar
BANGUNAN & RUANGAN,,
りょう,寮,Asrama
みんしゅく,民宿,Guest house
りょかん,旅館,Penginapan
ゲストハウス,,Guest house
アパート,,Apartemen
ホテル,,Hotel
マンション,,Mansion
NEGARA & GEOGRAFI,,
いなか,田舎,Desa
かんこく,韓国,Korea Selatan
ちゅうごく,中国,China
まち,町,Kota
ふるさと,故郷,Kampung halaman
にほん,日本,Jepang
,,
BAB 2,,
KANA,KANJI,ARTI
KATA GANTI ORANG & SUBJEK,,
ひとり,一人,1 orang
ふたり,二人,2 orang
さんにん,三人,3 orang
よにん,四人,4 orang
ごにん,五人,5 orang
ろくにん,六人,6 orang
しちにん,七人,7 orang
はちにん,八人,8 orang
きゅうにん,九人,9 orang
じゅうにん,十人,10 orang
あいつ,彼奴,Orang itu *)
こいつ,此奴,Orang ini *)
ひと,人,Orang
おとこのひと,男の人,Orang laki-laki
おんなのひと,女の人,Orang perempuan
あいつら,彼奴等,Mereka *)
おにいさん,お兄さん,Kakak laki-laki (orang)
おねえさん,お姉さん,Kakak perempuan (orang)
むすこさん,息子さん,Anak laki-laki (orang)
おとうとさん,弟さん,Adik laki-laki (orang)
いもうとさん,妹さん,Adik perempuan (orang)
むすめさん,娘さん,Anak perempuan (orang)
なんにん,何人,Berapa orang?
KELUARGA & HUBUNGAN SOSIAL,,
こ,子,Anak
むすこ,息子,Anak laki-laki
むすめ,娘,Anak perempuan
KATEGORI ORANG & GENDER,,
じょせい,女性,Perempuan
だんせい,男性,Laki-laki
おとこ,男,Laki-laki
おんな,女,Perempuan
あかちゃん,赤ちゃん,Bayi
BAHASA & LINGUISTIK,,
〜ご,〜語,Bahasa~
えいご,英語,Bahasa inggris
ちゅうごくご,中国語,Bahasa mandarin
インドネシアご,インドネシア語,Bahasa indonesia
マレーシアご,マレーシア語,Bahasa malaysia
アラビアご,アラビア語,Bahasa arab
スンダご,スンダ語,Bahasa sunda
メラユご,メラユ語,Bahasa melayu
ジャワご,ジャワ語,Bahasa jawa
"TEMPAT, BANGUNAN & FASILITAS",,
こうこう,高校,SMA
がっこう,学校,Sekolah
ちゅうがっこう,中学校,SMP
しょうがっこう,小学校,SD
せんもんがっこう,専門学校,Sekolah kejuruan
だいがく,大学,Universitas
かいしゃ,会社,Perusahaan
かぶしきがいしゃ,株式会社,PT
ようちえん,幼稚園,TK
PAKAIAN & AKSESORIS,,
さいふ,財布,Dompet
かばん,鞄,Tas
ALAT TULIS & PERLENGKAPAN KANTOR,,
ざっし,雑誌,Majalah
しょうせつ,小説,Novel
えんぴつ,鉛筆,Pensil
よみもの,読み物,Buku bacaan
きょうかしょ,教科書,Buku pelajaran
じしょ,辞書,Kamus
じてん,辞典,Kamus
でんしじてん,電子辞典,Kamus elektronik
こくばん,黒板,Papan tulis
しんぶん,新聞,Koran
ほん,本,Buku
ノート,,Buku catatan
ホワイトボード,,Papan tulis
けしゴム,消しゴム,Penghapus
シャープペンシル,,Pensil mekanik
ボールペン,,Pulpen
ALAT ELEKTRONIK & MESIN,,
ラジオ,,Radio
マウス,,Mouse
テレホンカード,,Kartu telepon
キーボード,,Papan ketik
テレビ,,Televisi
スマホ,,Smartphone
デジカメ,,Kamera dijital
カメラ,,Kamera
パソコン,,Laptop
モニター,,Monitor
コンピューター,,Komputer / PC
DVDプレーヤー,,DVD player
KENDARAAN & TRANSPORTASI,,
くるま,車,Mobil
じてんしゃ,自転車,Sepeda
バイク,,Sepeda motor
オートバイク,,Sepeda motor
MEREK & PERUSAHAAN,,
パナソニック,,Panasonic
トヨタ,豊田,Toyota
ホンダ,本田,Honda
ダイハツ,大発,Daihatsu
シャオミ,,Xiaomi
サムスン,,Samsung
ソニー,,Sony
"HIBURAN, HOBI & OLAHRAGA",,
えいが,映画,Film
おんがく,音楽,Musik
クラシック,,Klasik
ロマンチック,,Romantis
ロック,,Rock
ドラマ,,Drama / sinetron
ホラー,,Horor
KATA TANYA (GIMONSHI),,
なん・なに,何,Apa
KOSAKATA SERAPAN (KATAKANA),,
ニッサン,日産,Nissan
マーカー,,Spidol
BANGUNAN & RUANGAN,,
けしょうしつ,化粧室,Kamar kecil
